application_type,expected_users_per_day,concurrent_users,storage_required_gb,deployment_region,required_vcpu,required_ram_gb,cloud_provider_reference,reference_vm_type,price_per_hour,traffic_pattern,monthly_cost
Blog,10121,40,4061,us-east,2,4,AWS,t3.medium,0.0416,Low,29.95
News Portal,61612,5265,10,europe-west,8,16,GCP,n2-standard-8,0.388,Medium,279.36
Portfolio,872,6,724,europe-west,1,2,GCP,e2-small,0.017,Low,12.24
CRM,6442,55,51,europe-west,4,8,Azure,D4s_v3,0.192,High,138.24
CRM,12898,759,58,europe-west,4,8,GCP,n2-standard-4,0.194,Low,139.68
Social Media,63159,5708,3994,us-east,16,32,Azure,F4s_v2,0.169,Medium,121.68
Blog,378605,16,168,europe-west,4,8,AWS,m5.xlarge,0.192,Medium,138.24
Portfolio,152553,1095,817,europe-west,4,8,Azure,D4s_v3,0.192,Medium,138.24
Healthcare,25877,7,1001,asia-south,2,4,AWS,t3.medium,0.0416,Low,29.95
Blog,19240,953,898,europe-west,4,8,GCP,n2-standard-4,0.194,Medium,139.68
Streaming,22419,2671,4,europe-west,8,16,Azure,F4s_v2,0.169,Medium,121.68
Banking,14240,728,141,asia-south,4,8,AWS,m5.xlarge,0.192,Low,138.24
News Portal,318,43,1899,asia-south,4,8,Azure,D4s_v3,0.192,High,138.24
News Portal,47184,156,354,us-east,4,8,GCP,n2-standard-4,0.194,Medium,139.68
News Portal,54337,3447,16,europe-west,8,16,GCP,n2-standard-8,0.388,High,279.36
News Portal,11026,650,57,asia-south,4,8,AWS,m5.xlarge,0.192,Low,138.24
Streaming,181366,12904,22,europe-west,16,32,Azure,F4s_v2,0.169,Medium,121.68
E-Commerce,38542,3246,28,asia-south,8,16,Azure,F4s_v2,0.169,High,121.68
Social Media,3415,210,64,us-east,4,8,AWS,m5.xlarge,0.192,Medium,138.24
CRM,233,17,10,us-east,1,2,Azure,B2s,0.05,Medium,36.0
Streaming,318,11,277,asia-south,2,4,Azure,B2s,0.05,Low,36.0
ERP,3136,134,31,europe-west,4,8,AWS,m5.xlarge,0.192,Medium,138.24
E-Commerce,7434,123,2,us-east,4,8,AWS,m5.xlarge,0.192,High,138.24
Banking,738,326,9,us-east,2,4,Azure,B2s,0.05,Low,36.0
News Portal,880,880,4507,europe-west,4,8,GCP,n2-standard-4,0.194,Medium,139.68
Portfolio,1211,14,1161,europe-west,1,2,GCP,e2-small,0.017,Low,12.24
CRM,89777,4180,94,asia-south,4,8,Azure,D4s_v3,0.192,Low,138.24
Social Media,83526,5776,1394,europe-west,16,32,AWS,c5.2xlarge,0.34,Medium,244.8
Streaming,4002,213,23,asia-south,4,8,GCP,n2-standard-4,0.194,Medium,139.68
CRM,770,27,32,europe-west,1,2,GCP,e2-small,0.017,Low,12.24
CRM,476,46,118,asia-south,2,4,AWS,t3.medium,0.0416,Medium,29.95
Healthcare,395,23,11,europe-west,1,2,AWS,t3.small,0.0208,Low,14.98
Blog,4271,176,1210,europe-west,4,8,Azure,D4s_v3,0.192,Medium,138.24
Streaming,286,14,79,us-east,4,8,AWS,m5.xlarge,0.192,High,138.24
Social Media,2721,51,4,asia-south,4,8,Azure,D4s_v3,0.192,Medium,138.24
Blog,370052,7693,12,asia-south,8,16,Azure,F4s_v2,0.169,Medium,121.68
Social Media,10605,607,169,europe-west,8,16,AWS,c5.2xlarge,0.34,High,244.8
Social Media,124832,342,226,asia-south,8,16,Azure,F4s_v2,0.169,Low,121.68
Healthcare,550,58,792,us-east,2,4,Azure,B2s,0.05,Medium,36.0
Portfolio,1629,321,47,asia-south,2,4,GCP,e2-medium,0.033,Medium,23.76
E-Commerce,329108,1305,409,us-east,8,16,GCP,n2-standard-8,0.388,Medium,279.36
News Portal,4021,365,12,europe-west,4,8,GCP,n2-standard-4,0.194,High,139.68
News Portal,31936,122,241,asia-south,8,16,GCP,n2-standard-8,0.388,High,279.36
ERP,414811,18103,41,asia-south,16,32,Azure,F4s_v2,0.169,Medium,121.68
Blog,14879,8742,905,asia-south,8,16,AWS,c5.2xlarge,0.34,High,244.8
Banking,2181,153,2233,europe-west,4,8,GCP,n2-standard-4,0.194,Medium,139.68
CRM,12840,1171,661,europe-west,4,8,AWS,m5.xlarge,0.192,Medium,138.24
Social Media,307,9,268,europe-west,1,2,GCP,e2-small,0.017,Low,12.24
Portfolio,482,7,5,europe-west,1,2,AWS,t3.small,0.0208,High,14.98
News Portal,212,18,324,europe-west,2,4,Azure,B2s,0.05,High,36.0
News Portal,202080,39,138,asia-south,4,8,Azure,D4s_v3,0.192,Low,138.24
E-Commerce,38194,536,3,us-east,4,8,GCP,n2-standard-4,0.194,Medium,139.68
ERP,2064,2064,5,us-east,4,8,Azure,D4s_v3,0.192,Low,138.24
CRM,1129,138,29,asia-south,1,2,Azure,B2s,0.05,Low,36.0
CRM,41887,3024,87,us-east,4,8,Azure,D4s_v3,0.192,Low,138.24
Blog,266406,7319,2704,europe-west,8,16,Azure,F4s_v2,0.169,Low,121.68
