application_type,expected_users_per_day,concurrent_users,storage_required_gb,deployment_region,required_vcpu,required_ram_gb,cloud_provider_reference,reference_vm_type,price_per_hour,traffic_pattern,monthly_cost
Blog,909,90,20,us-east,1,2,Azure,B2s,0.0501,Low,36.07
E-Commerce,18434,4667,94,us-west,2,4,Azure,B2s,0.0499,Medium,35.93
Healthcare,9165,322,147,asia-south,2,4,GCP,e2-medium,0.034,Medium,24.48
ERP,142475,2965,113,us-east,8,16,AWS,c5.2xlarge,0.3497,High,251.78
ERP,119974,1402,329,us-east,8,16,AWS,c5.2xlarge,0.3379,High,243.29
CRM,5851,1754,256,us-east,2,4,AWS,t3.medium,0.0418,Medium,30.1
Healthcare,49597,1338,179,asia-south,4,8,Azure,D4s_v3,0.197,Medium,141.84
Streaming,103587,5039,3612,us-west,8,16,GCP,n2-standard-8,0.3975,High,286.2
Streaming,494331,13270,2666,us-west,16,32,GCP,n2-standard-8,0.3974,High,286.13
Portfolio,1594,34,9,us-west,1,2,AWS,t3.small,0.0211,Low,15.19
Healthcare,15328,2461,250,asia-south,2,4,GCP,e2-medium,0.033,Medium,23.76
News Portal,99800,4929,99,us-east,4,8,GCP,n2-standard-4,0.1935,High,139.32
Blog,1250,189,19,us-west,1,2,GCP,e2-small,0.0173,Low,12.46
CRM,15458,1951,109,asia-south,2,4,GCP,e2-medium,0.0333,Medium,23.98
Blog,6727,91,34,asia-south,2,4,Azure,B2s,0.0493,Medium,35.5
Streaming,135277,14130,3410,asia-south,8,16,AWS,c5.2xlarge,0.3438,High,247.54
CRM,14358,1447,212,us-east,2,4,GCP,e2-medium,0.0327,Medium,23.54
Social Media,402272,9021,1169,asia-south,16,32,Azure,F4s_v2,0.166,High,119.52
Healthcare,40382,2821,452,us-west,4,8,AWS,m5.xlarge,0.1959,Medium,141.05
ERP,95008,729,217,us-east,4,8,GCP,n2-standard-4,0.1885,High,135.72
Portfolio,1748,25,7,us-east,1,2,AWS,t3.small,0.0204,Low,14.69
Blog,3956,165,50,us-west,2,4,Azure,B2s,0.0507,Low,36.5
ERP,140870,2120,429,us-west,8,16,AWS,c5.2xlarge,0.3402,High,244.94
E-Commerce,39718,1343,176,us-west,4,8,GCP,n2-standard-4,0.1945,Medium,140.04
Social Media,302579,9609,2894,asia-south,16,32,Azure,F4s_v2,0.1735,High,124.92
News Portal,109700,3165,106,us-east,8,16,Azure,F4s_v2,0.1738,High,125.14
Social Media,278744,3978,692,us-west,16,32,Azure,F4s_v2,0.1716,High,123.55
Blog,3004,180,15,asia-south,2,4,GCP,e2-medium,0.0335,Low,24.12
Healthcare,83172,460,297,us-west,4,8,Azure,D4s_v3,0.1918,High,138.1
News Portal,127696,4534,114,us-east,8,16,Azure,F4s_v2,0.1697,High,122.18
Social Media,471296,1376,969,asia-south,16,32,AWS,c5.2xlarge,0.3396,High,244.51
Social Media,413676,9743,1893,us-east,16,32,AWS,c5.2xlarge,0.3418,High,246.1
CRM,61985,523,166,asia-south,4,8,AWS,m5.xlarge,0.1925,High,138.6
CRM,70612,1760,95,us-west,4,8,GCP,n2-standard-4,0.194,High,139.68
Blog,5389,183,37,us-west,2,4,AWS,t3.medium,0.0422,Medium,30.38
ERP,50065,2031,490,us-east,4,8,Azure,D4s_v3,0.1924,High,138.53
Social Media,428224,18378,502,us-east,16,32,AWS,c5.2xlarge,0.3424,High,246.53
Streaming,306170,2638,1416,asia-south,16,32,Azure,F4s_v2,0.164,High,118.08
Streaming,486032,12076,2461,asia-south,16,32,AWS,c5.2xlarge,0.3502,High,252.14
ERP,30645,850,474,us-west,4,8,AWS,m5.xlarge,0.1927,Medium,138.74
Blog,9227,52,13,asia-south,2,4,GCP,e2-medium,0.0326,Medium,23.47
Banking,154127,1852,371,us-west,8,16,GCP,n2-standard-8,0.388,High,279.36
News Portal,115923,1935,188,us-west,8,16,Azure,F4s_v2,0.1689,High,121.61
ERP,91714,2134,443,asia-south,4,8,GCP,n2-standard-4,0.1931,High,139.03
Streaming,279690,18959,4198,asia-south,16,32,Azure,F4s_v2,0.174,High,125.28
ERP,68903,762,273,asia-south,4,8,GCP,n2-standard-4,0.1898,High,136.66
News Portal,65323,2004,51,asia-south,4,8,Azure,D4s_v3,0.1923,High,138.46
Portfolio,568,9,1,us-east,1,2,GCP,e2-small,0.0169,Low,12.17
Streaming,87149,18847,2449,us-west,4,8,Azure,D4s_v3,0.1913,High,137.74
Banking,66160,4917,235,us-east,4,8,GCP,n2-standard-4,0.1986,High,142.99
News Portal,128907,2190,171,us-west,8,16,GCP,n2-standard-8,0.3902,High,280.94
Healthcare,29957,586,149,us-west,2,4,GCP,e2-medium,0.0335,Medium,24.12
Healthcare,51438,1934,310,us-west,4,8,Azure,D4s_v3,0.1948,High,140.26
Portfolio,1479,46,2,us-west,1,2,Azure,B2s,0.0506,Low,36.43
Healthcare,49473,647,227,us-west,4,8,Azure,D4s_v3,0.1894,Medium,136.37
ERP,127601,1074,316,asia-south,8,16,AWS,c5.2xlarge,0.3344,High,240.77
CRM,65637,711,273,us-west,4,8,AWS,m5.xlarge,0.1904,High,137.09
Blog,7760,160,11,us-west,2,4,Azure,B2s,0.0495,Medium,35.64
Social Media,458319,1483,882,us-west,16,32,GCP,n2-standard-8,0.3773,High,271.66
ERP,53597,2164,348,asia-south,4,8,GCP,n2-standard-4,0.1923,High,138.46
ERP,115130,740,184,asia-south,8,16,AWS,c5.2xlarge,0.331,High,238.32
Portfolio,899,21,8,us-east,1,2,AWS,t3.small,0.0202,Low,14.54
Healthcare,96303,2476,438,us-west,4,8,GCP,n2-standard-4,0.1944,High,139.97
Banking,50579,2055,403,asia-south,4,8,Azure,D4s_v3,0.1948,High,140.26
Portfolio,1286,39,1,asia-south,1,2,GCP,e2-small,0.0167,Low,12.02
Streaming,79971,3643,4405,us-east,4,8,GCP,n2-standard-4,0.1905,High,137.16
Social Media,102540,2863,2580,asia-south,8,16,Azure,F4s_v2,0.1722,High,123.98
E-Commerce,13981,756,395,asia-south,2,4,GCP,e2-medium,0.033,Medium,23.76
ERP,115847,991,391,us-east,8,16,GCP,n2-standard-8,0.3872,High,278.78
News Portal,15418,871,157,asia-south,2,4,AWS,t3.medium,0.042,Medium,30.24
News Portal,142044,2791,116,us-west,8,16,AWS,c5.2xlarge,0.3431,High,247.03
Streaming,175140,10703,3742,us-west,8,16,GCP,n2-standard-8,0.3843,High,276.7
CRM,64929,847,287,asia-south,4,8,GCP,n2-standard-4,0.1926,High,138.67
Blog,652,137,44,asia-south,1,2,GCP,e2-small,0.0174,Low,12.53
Blog,1700,157,18,asia-south,1,2,Azure,B2s,0.0504,Low,36.29
CRM,22361,914,275,asia-south,2,4,AWS,t3.medium,0.0426,Medium,30.67
ERP,106869,1667,180,us-west,8,16,AWS,c5.2xlarge,0.3489,High,251.21
Social Media,388857,10912,2666,us-east,16,32,Azure,F4s_v2,0.1683,High,121.18
Social Media,176960,4394,1050,us-east,8,16,Azure,F4s_v2,0.1655,High,119.16
Blog,2253,161,14,us-west,1,2,GCP,e2-small,0.0166,Low,11.95
CRM,32607,1669,137,us-east,4,8,AWS,m5.xlarge,0.1913,Medium,137.74
CRM,71244,1200,114,us-west,4,8,AWS,m5.xlarge,0.188,High,135.36
Portfolio,289,45,7,us-west,1,2,GCP,e2-small,0.0167,Low,12.02
CRM,10778,207,135,us-west,2,4,AWS,t3.medium,0.0419,Medium,30.17
E-Commerce,88507,2345,132,us-west,4,8,Azure,D4s_v3,0.1906,High,137.23
Banking,154619,4003,674,asia-south,8,16,Azure,F4s_v2,0.1676,High,120.67
Blog,1732,196,14,asia-south,1,2,AWS,t3.small,0.0208,Low,14.98
