provider,region,vm_type,vcpu,ram_gb,price_per_hour
AWS,asia-south,t3.medium,2,4,0.0416
AWS,asia-south,t3.xlarge,4,8,0.1664
AWS,asia-south,c5.2xlarge,8,16,0.3400
AWS,asia-south,c5.4xlarge,16,32,0.6800
Azure,asia-south,B2s,2,4,0.0500
Azure,asia-south,D2s_v3,2,8,0.0960
Azure,asia-south,D4s_v3,4,16,0.1920
Azure,asia-south,D8s_v3,8,32,0.3840
GCP,asia-south,e2-medium,2,4,0.0330
GCP,asia-south,n2-standard-4,4,16,0.1940
GCP,asia-south,n2-standard-8,8,32,0.3880
AWS,us-east,t3.medium,2,4,0.0416
AWS,us-east,t3.xlarge,4,8,0.1664
AWS,us-east,c5.2xlarge,8,16,0.3400
AWS,us-east,c5.4xlarge,16,32,0.6800
Azure,us-east,B2s,2,4,0.0500
Azure,us-east,D2s_v3,2,8,0.0960
Azure,us-east,D4s_v3,4,16,0.1920
Azure,us-east,D8s_v3,8,32,0.3840
GCP,us-east,e2-medium,2,4,0.0330
GCP,us-east,n2-standard-4,4,16,0.1940
GCP,us-east,n2-standard-8,8,32,0.3880
AWS,europe-west,t3.medium,2,4,0.0416
AWS,europe-west,t3.xlarge,4,8,0.1664
AWS,europe-west,c5.2xlarge,8,16,0.3400
AWS,europe-west,c5.4xlarge,16,32,0.6800
Azure,europe-west,B2s,2,4,0.0500
Azure,europe-west,D2s_v3,2,8,0.0960
Azure,europe-west,D4s_v3,4,16,0.1920
Azure,europe-west,D8s_v3,8,32,0.3840
GCP,europe-west,e2-medium,2,4,0.0330
GCP,europe-west,n2-standard-4,4,16,0.1940
GCP,europe-west,n2-standard-8,8,32,0.3880
